item_title,item_url,reference,year,issue
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 458, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-1,EAP180/3/11/1 Level: File Extent: 4 TIFF images Legal:,1854,458
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 459, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-2,EAP180/3/11/2 Level: File Extent: 3 TIFF images Legal:,1854,459
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 460, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-3,EAP180/3/11/3 Level: File Extent: 3 TIFF images Legal:,1854,460
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 461, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-4,EAP180/3/11/4 Level: File Extent: 3 TIFF images Legal:,1854,461
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 462, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-5,EAP180/3/11/5 Level: File Extent: 3 TIFF images Legal:,1854,462
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 463, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-6,EAP180/3/11/6 Level: File Extent: 3 TIFF images Legal:,1854,463
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 464, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-7,EAP180/3/11/7 Level: File Extent: 3 TIFF images Legal:,1854,464
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 465, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-8,EAP180/3/11/8 Level: File Extent: 3 TIFF images Legal:,1854,465
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 466, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-9,EAP180/3/11/9 Level: File Extent: 3 TIFF images Legal:,1854,466
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 467, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-10,EAP180/3/11/10 Level: File Extent: 3 TIFF images Legal:,1854,467
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 468, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-11,EAP180/3/11/11 Level: File Extent: 3 TIFF images Legal:,1854,468
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 469, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-12,EAP180/3/11/12 Level: File Extent: 3 TIFF images Legal:,1854,469
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 470, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-13,EAP180/3/11/13 Level: File Extent: 3 TIFF images Legal:,1854,470
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 471, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-14,EAP180/3/11/14 Level: File Extent: 3 TIFF images Legal:,1854,471
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 473, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-15,EAP180/3/11/15 Level: File Extent: 3 TIFF images Legal:,1854,473
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 474, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-16,EAP180/3/11/16 Level: File Extent: 3 TIFF images Legal:,1854,474
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 475, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-17,EAP180/3/11/17 Level: File Extent: 3 TIFF images Legal:,1854,475
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 476, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-18,EAP180/3/11/18 Level: File Extent: 3 TIFF images Legal:,1854,476
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 477, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-19,EAP180/3/11/19 Level: File Extent: 3 TIFF images Legal:,1854,477
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 478, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-20,EAP180/3/11/20 Level: File Extent: 3 TIFF images Legal:,1854,478
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 479, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-21,EAP180/3/11/21 Level: File Extent: 3 TIFF images Legal:,1854,479
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 480, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-22,EAP180/3/11/22 Level: File Extent: 3 TIFF images Legal:,1854,480
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 481, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-23,EAP180/3/11/23 Level: File Extent: 3 TIFF images Legal:,1854,481
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 482, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-24,EAP180/3/11/24 Level: File Extent: 3 TIFF images Legal:,1854,482
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 483, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-25,EAP180/3/11/25 Level: File Extent: 3 TIFF images Legal:,1854,483
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 484, 1854""",https://eap.bl.uk/archive-file/EAP180-3-11-26,EAP180/3/11/26 Level: File Extent: 3 TIFF images Legal:,1854,484
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 485, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-27,EAP180/3/11/27 Level: File Extent: 3 TIFF images Legal:,1855,485
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 486, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-28,EAP180/3/11/28 Level: File Extent: 3 TIFF images Legal:,1855,486
